price,sector
36.55260479106281,Electronic Technology
91.29304160519519,Electronic Technology
88.0083237358626,Technology Services
36.047370994129246,Retail Trade
97.77917890524836,Technology Services
72.82574228272321,Technology Services
80.97465069886152,Electronic Technology
176.53613927228082,Finance
36.60103677573794,Technology Services
49.42548826296074,Health Technology
45.35797476586647,Consumer Durables
49.507519631901474,Finance
188.91100923349947,Health Services
71.21719681823852,Energy Minerals
182.1746497389175,Commercial Services
114.76629140470125,Retail Trade
197.63582519648438,Commercial Services
164.79867836289702,Other
89.62176468234722,Consumer Non-Durables
66.9143690136022,Health Technology
85.6570152749194,Retail Trade
116.07379051641583,Health Technology
54.41486718479298,Technology Services
107.2034462532152,Technology Services
139.55424200318782,Health Technology
192.50114713410576,Technology Services
120.5225569706765,Electronic Technology
77.83497679965849,Finance
124.99220228184936,Consumer Non-Durables
12.297869154495578,Energy Minerals
198.658969204965,Consumer Non-Durables
120.21684439180602,Health Technology
23.02286480675231,Technology Services
80.3010995862851,Process Industries
78.07055561660547,Technology Services
128.22484571740586,Consumer Services
117.62975709942623,Technology Services
130.40848316617814,Electronic Technology
77.95236714239293,Producer Manufacturing
70.64094993783006,Health Technology
180.63610896207683,Finance
93.0296246612318,Technology Services
11.285222887083313,Producer Manufacturing
25.176225628557923,Electronic Technology
198.84405810525067,Electronic Technology
157.5570893916854,Consumer Non-Durables
165.15347437221993,Communications
111.00429833967385,Health Technology
148.19072269152798,Technology Services
41.83075298494303,Health Technology
120.03504663238435,Health Technology
172.50814091861935,Health Technology
86.63505000256713,Producer Manufacturing
7.878271503048828,Consumer Services
75.44743635310604,Commercial Services
8.945968909489421,Utilities
87.70865559262941,Electronic Technology
47.67366687350565,Transportation
120.39339563325755,Consumer Services
156.5281568113051,Finance
9.281176905015132,Retail Trade
161.46185861480257,Communications
151.506770108276,Finance
121.26802839631259,Finance
49.15636569525754,Transportation
188.9656074077996,Consumer Services
177.05631017226,Electronic Technology
2.2784901049707873,Finance
75.5911651975226,Producer Manufacturing
11.061544228727094,Finance
101.47426199179223,Energy Minerals
95.35645566649491,Retail Trade
101.49995504993925,Electronic Technology
171.78943629106394,Health Technology
59.19285699111112,Finance
7.70504866071271,Health Technology
105.00014873358288,Health Technology
180.5947307799774,Technology Services
190.7296719259145,Technology Services
188.82658183216466,Electronic Technology
190.91459758660105,Health Services
90.0303936030402,Health Technology
69.74437182755995,Electronic Technology
43.04909624265054,Finance
146.43617465017428,Finance
169.47002055256755,Consumer Services
65.43856093072971,Electronic Technology
167.70551397364076,Finance
109.11347053313905,Producer Manufacturing
59.15841095758727,Health Technology
153.7903203442515,Health Technology
116.51739249571129,Health Technology
75.42021409670718,Finance
80.08291930674096,Finance
113.81721195677466,Electronic Technology
119.14674411559618,Communications
74.31296700223417,Producer Manufacturing
159.8533225679446,Finance
18.654800532001303,Electronic Technology
32.86218288776641,Finance
170.34129355477674,Consumer Non-Durables
78.75936567742849,Transportation
91.49398539261566,Utilities
14.692628473909908,Health Services
164.13091051170008,Consumer Non-Durables
130.9279698191742,Finance
141.01434615377306,Finance
157.37050327040654,Producer Manufacturing
152.71876682781146,Process Industries
99.83309455354583,Electronic Technology
107.15821891674035,Technology Services
24.030472253970192,Health Technology
102.23336500445943,Utilities
98.4013916515232,Consumer Non-Durables
70.32763251501146,Commercial Services
196.41126673948582,Finance
101.60462888924995,Retail Trade
138.28357313709435,Consumer Non-Durables
65.64967489285458,Utilities
173.05740104113715,Electronic Technology
166.94745128006002,Technology Services
61.491421033397174,Finance
157.2094785342395,Consumer Services
93.271959279011,Electronic Technology
76.77614839831426,Finance
129.90393727309157,Electronic Technology
0.11137650282360134,Electronic Technology
78.54976687919333,Industrial Services
38.33975775832301,Electronic Technology
1.4916457406107142,Technology Services
183.85814143596102,Energy Minerals
74.64066512402347,Producer Manufacturing
52.654145749627276,Commercial Services
53.67581129704424,Producer Manufacturing
6.6887163714518305,Electronic Technology
12.96660061997601,Finance
152.09160118092092,Finance
70.20068791612333,Health Services
115.48582063000532,Consumer Services
33.76228342938765,Retail Trade
143.01270867776083,Finance
85.4338267192581,Non-Energy Minerals
9.139496509652556,Process Industries
171.81792233691803,Producer Manufacturing
144.12101453528635,Producer Manufacturing
59.63187933748482,Technology Services
138.9174004199246,Health Technology
87.43375589202532,Retail Trade
114.1394829346274,Transportation
186.81572919297287,Distribution Services
122.02277497351174,Process Industries
172.44315400314903,Finance
39.899836827770784,Other
135.90947190025386,Industrial Services
61.82821021079845,Consumer Services
147.4132208714553,Electronic Technology
171.7263451128261,Non-Energy Minerals
66.85677305473179,Industrial Services
12.607472290327859,Technology Services
115.89693815941418,Transportation
96.72146858065706,Consumer Services
36.77197390839548,Technology Services
125.78415916418967,Consumer Services
117.70789768403489,Finance
1.3819449184906851,Finance
136.54113296222812,Energy Minerals
116.97634808253675,Finance
64.33709144290927,Transportation
119.77964013297209,Industrial Services
37.4782754910683,Finance
21.888590563948295,Finance
14.451519655006617,Energy Minerals
189.34363638474815,Producer Manufacturing
56.31607839013275,Consumer Durables
94.86307075752849,Finance
190.86077830833912,Consumer Durables
146.74107978855187,Finance
63.82187152858838,Retail Trade
187.71249148890575,Finance
78.05114026252646,Utilities
87.74369941633901,Producer Manufacturing
127.51686264866844,Finance
186.9796846648442,Utilities
15.808761387062574,Technology Services
179.7259070969026,Finance
86.76590165236667,Technology Services
144.95996722668693,Finance
196.712431299348,Retail Trade
29.87713661892326,Finance
196.2116817100814,Finance
80.02938566368876,Finance
49.382254720101784,Finance
73.4023400256853,Consumer Non-Durables
164.4051657910332,Technology Services
5.079280806207165,Retail Trade
197.73193767436726,Utilities
187.13819951346366,Technology Services
130.7222473263876,Electronic Technology
197.755989602029,Distribution Services
146.00114955436214,Consumer Services
172.58671092410688,Producer Manufacturing
136.27775423816644,Electronic Technology
48.75699957127229,Industrial Services
106.18611560552817,Industrial Services
124.95332918029882,Utilities
66.34288801776096,Technology Services
8.48262017300736,Other
162.4611559078189,Energy Minerals
150.89203550881976,Consumer Durables
23.96751899100289,Finance
84.81813114882904,Utilities
58.58800617072959,Finance
162.6191367963083,Electronic Technology
17.76882499002872,Health Technology
45.48202708690676,Electronic Technology
41.11414686652213,Industrial Services
98.1778321582208,Utilities
10.795214298227851,Consumer Durables
82.65382890370472,Health Technology
51.189924214247085,Consumer Non-Durables
196.72563740766986,Producer Manufacturing
176.8172061773859,Health Technology
183.8908004623731,Distribution Services
44.05627385975321,Producer Manufacturing
32.06990628012096,Technology Services
32.54014121128552,Consumer Non-Durables
166.33724705913403,Health Services
2.227184404931437,Utilities
33.53626214902332,Technology Services
148.91077495780638,Process Industries
184.11859426365078,Producer Manufacturing
182.01593702210258,Health Technology
197.43020999619523,Distribution Services
134.91552737047778,Consumer Non-Durables
81.04167420551937,Energy Minerals
169.71577041297502,Technology Services
64.64302757564879,Health Services
100.68720083306873,Consumer Services
69.58460631871033,Consumer Non-Durables
148.29782717865695,Process Industries
111.08923039621538,Industrial Services
127.01192993242107,Retail Trade
164.79681047147415,Distribution Services
83.86523335903328,Transportation
40.41371830336986,Finance
119.3655862957212,Finance
163.34578128711584,Energy Minerals
190.9042797386547,Energy Minerals
99.69285377599391,Non-Energy Minerals
82.44115841864806,Electronic Technology
191.6802712833195,Finance
113.30496388072082,Utilities
94.52235888592568,Electronic Technology
85.47568961275272,Process Industries
158.31703390816537,Utilities
156.67859276891951,Finance
19.773666384130895,Electronic Technology
58.10065914476286,Commercial Services
173.80629886635222,Consumer Non-Durables
176.81400387340852,Utilities
92.92188206181591,Health Technology
56.09641285847362,Technology Services
145.22597181062864,Finance
170.2463591412173,Finance
143.7060063816009,Producer Manufacturing
81.57619163485808,Retail Trade
29.076845920864724,Utilities
133.60900632433373,Transportation
106.0746743001786,Retail Trade
176.55760342724463,Non-Energy Minerals
197.14626215086574,Consumer Services
