price,sector
229.03999,Electronic Technology
134.81000,Electronic Technology
415.84000,Technology Services
186.64999,Retail Trade
583.83002,Technology Services
162.08000,Technology Services
185.69000,Electronic Technology
454.92999,Finance
163.17999,Technology Services
910.69000,Health Technology
238.77000,Consumer Durables
212.84000,Finance
597.70001,Health Services
123.14000,Energy Minerals
277.47000,Commercial Services
409.95999,Retail Trade
498.01999,Commercial Services
893.63000,N/A
168.95000,Consumer Non-Durables
160.50999,Health Technology
79.61000,Retail Trade
194.35001,Health Technology
730.28998,Technology Services
175.41000,Technology Services
109.40000,Health Technology
290.17001,Technology Services
164.17999,Electronic Technology
39.97000,Finance
69.25000,Consumer Non-Durables
150.62000,Energy Minerals
172.99001,Consumer Non-Durables
593.78998,Health Technology
361.07001,Technology Services
469.42001,Process Industries
503.57001,Technology Services
304.04001,Consumer Services
233.02000,Technology Services
53.54000,Electronic Technology
188.12000,Producer Manufacturing
115.62000,Health Technology
57.75000,Finance
944.63000,Technology Services
396.64001,Producer Manufacturing
168.52000,Electronic Technology
202.47000,Electronic Technology
119.39000,Consumer Non-Durables
42.95000,Communications
483.84000,Health Technology
619.29999,Technology Services
321.01001,Health Technology
266.45001,Health Technology
29.34000,Health Technology
203.96001,Producer Manufacturing
92.99000,Consumer Services
515.12000,Commercial Services
80.94000,Utilities
122.94000,Electronic Technology
77.92000,Transportation
41.10000,Consumer Services
503.72000,Finance
273.20999,Retail Trade
21.22000,Communications
270.47000,Finance
251.78000,Finance
238.82001,Transportation
4288.22021,Consumer Services
213.60001,Electronic Technology
108.08000,Finance
336.94000,Producer Manufacturing
955.59003,Finance
111.86000,Energy Minerals
112.59000,Retail Trade
597.48999,Electronic Technology
86.20000,Health Technology
63.48000,Finance
353.37000,Health Technology
476.14999,Health Technology
369.39999,Technology Services
286.91000,Technology Services
230.70000,Electronic Technology
492.17999,Health Services
88.85000,Health Technology
105.69000,Electronic Technology
223.53000,Finance
118.28000,Finance
93.88000,Consumer Services
797.97998,Electronic Technology
187.99001,Finance
82.06000,Producer Manufacturing
999.02002,Health Technology
84.67000,Health Technology
52.40000,Health Technology
149.03000,Finance
284.70001,Finance
